,0,1,2,3
0,0.39822945,0.022436516,0.009628226,0.028085455
1,0.6150152,0.07422418,0.043345183,0.06996879
2,0.5972181,0.07756885,0.048161753,0.08724636
3,0.42313126,0.066192135,0.021609355,0.037571937
4,0.52200687,0.07305101,0.04630934,0.063700914
5,0.5624035,0.08250521,0.027890319,0.06244513
6,0.50846934,0.10456572,0.060130026,0.09130877
7,0.44015533,0.073320635,0.09299946,0.058740914
8,0.1476359,0.01840691,0.018935898,0.024210872
9,0.2996649,0.13091573,0.049357813,0.06811354
10,0.21527776,0.087192886,0.2419417,0.14284104
11,0.505103,0.0664202,0.026542384,0.04959809
12,0.20952818,0.09077009,0.3931918,0.13696657
13,0.38189116,0.08487862,0.17573889,0.09620518
14,0.12901363,0.014189817,0.009481222,0.023877554
15,0.5766531,0.08827283,0.08398643,0.08170883
16,0.22015315,0.087197065,0.26102135,0.17931515
17,0.22141016,0.06809208,0.060412053,0.06369313
18,0.40856096,0.001765768,0.000438667,0.000471785
19,0.4960337,0.07180421,0.0432663,0.07453244
20,0.438816,0.10316424,0.044271324,0.089018755
21,0.32427233,0.10667271,0.06618786,0.06279051
22,0.4940696,0.09515862,0.046566717,0.11052621
23,0.41105443,0.10986629,0.060321156,0.106467806
24,0.3712879,0.077661425,0.02947754,0.055984687
25,0.5139018,0.06939447,0.033221733,0.04937505
26,0.33237678,0.10895276,0.21633522,0.059070487
27,0.44481012,0.090865195,0.21591695,0.059475686
